2667, 24, 2727, 24, 2727, 59, 2667, 59, small-vehicle, 69
3726, 1522, 3796, 1522, 3796, 1550, 3726, 1550, small-vehicle, 70
2142, 2073, 2171, 2073, 2171, 2126, 2142, 2126, small-vehicle, 71
2400, 1150, 2463, 1150, 2463, 1176, 2400, 1176, small-vehicle, 72
3305, 1014, 3367, 1014, 3367, 1044, 3305, 1044, small-vehicle, 73
169, 1060, 221, 1060, 221, 1085, 169, 1085, small-vehicle, 74
1241, 527, 1268, 527, 1268, 580, 1241, 580, small-vehicle, 75
1976, 513, 2006, 513, 2006, 582, 1976, 582, small-vehicle, 76
1892, 800, 1922, 800, 1922, 859, 1892, 859, small-vehicle, 77
2742, 1278, 2811, 1278, 2811, 1306, 2742, 1306, small-vehicle, 78
293, 226, 347, 226, 347, 255, 293, 255, small-vehicle, 79
1541, 1201, 1602, 1201, 1602, 1229, 1541, 1229, small-vehicle, 80
2289, 1958, 2315, 1958, 2315, 2007, 2289, 2007, small-vehicle, 81
1186, 1221, 1239, 1221, 1239, 1246, 1186, 1246, small-vehicle, 82
2623, 1149, 2694, 1149, 2694, 1173, 2623, 1173, small-vehicle, 83
1199, 1177, 1266, 1177, 1266, 1203, 1199, 1203, small-vehicle, 84
2945, 58, 2990, 58, 2990, 79, 2945, 79, small-vehicle, 85
2139, 372, 2170, 372, 2170, 436, 2139, 436, small-vehicle, 86
2439, 46, 2494, 46, 2494, 77, 2439, 77, small-vehicle, 87
2421, 1060, 2478, 1060, 2478, 1082, 2421, 1082, small-vehicle, 88
3416, 1279, 3475, 1279, 3475, 1304, 3416, 1304, small-vehicle, 89
2037, 703, 2069, 703, 2069, 776, 2037, 776, small-vehicle, 90
3547, 1021, 3614, 1021, 3614, 1046, 3547, 1046, small-vehicle, 91
3114, 1277, 3171, 1277, 3171, 1301, 3114, 1301, small-vehicle, 92
3050, 1520, 3108, 1520, 3108, 1548, 3050, 1548, small-vehicle, 93
1898, 605, 1926, 605, 1926, 667, 1898, 667, small-vehicle, 94
2481, 1594, 2543, 1594, 2543, 1627, 2481, 1627, small-vehicle, 95
2928, 1098, 2990, 1098, 2990, 1126, 2928, 1126, small-vehicle, 96
759, 1187, 818, 1187, 818, 1221, 759, 1221, small-vehicle, 97
3744, 1066, 3804, 1066, 3804, 1096, 3744, 1096, small-vehicle, 98
3092, 1586, 3154, 1586, 3154, 1612, 3092, 1612, small-vehicle, 99
2849, 1279, 2899, 1279, 2899, 1304, 2849, 1304, small-vehicle, 100
1943, 633, 1974, 633, 1974, 696, 1943, 696, small-vehicle, 101
3569, 1282, 3640, 1282, 3640, 1310, 3569, 1310, small-vehicle, 102
1668, 1207, 1733, 1207, 1733, 1232, 1668, 1232, small-vehicle, 103
3351, 1672, 3386, 1672, 3386, 1732, 3351, 1732, small-vehicle, 104
1998, 850, 2029, 850, 2029, 923, 1998, 923, small-vehicle, 105
2960, 1055, 3019, 1055, 3019, 1081, 2960, 1081, small-vehicle, 106
3736, 1615, 3765, 1615, 3765, 1674, 3736, 1674, small-vehicle, 107
3539, 1517, 3606, 1517, 3606, 1545, 3539, 1545, small-vehicle, 108
3131, 1054, 3203, 1054, 3203, 1080, 3131, 1080, small-vehicle, 109
1912, 727, 1944, 727, 1944, 790, 1912, 790, small-vehicle, 110
2510, 1055, 2578, 1055, 2578, 1082, 2510, 1082, small-vehicle, 111
2988, 1225, 3054, 1225, 3054, 1251, 2988, 1251, small-vehicle, 112
