frame_number,latitude,longitude,gps_displacement_wrt_ref,pix_displacement_wrt_ref,is_reference
75,38.013089,23.753069,11.473131738258182,172.09697607387272,False
76,38.013095,23.753072,12.190202404770483,182.85303607155726,False
77,38.013095,23.753072,12.190202404770483,182.85303607155726,False
78,38.013095,23.753072,12.190202404770483,182.85303607155726,False
79,38.013102,23.753075,13.010793722193306,195.16190583289958,False
80,38.013102,23.753075,13.010793722193306,195.16190583289958,False
81,38.013102,23.753075,13.010793722193306,195.16190583289958,False
82,38.013109,23.753079,13.863367262918244,207.95050894377366,False
83,38.013109,23.753079,13.863367262918244,207.95050894377366,False
84,38.013116,23.753082,14.683951287698143,220.25926931547215,False
85,38.013116,23.753082,14.683951287698143,220.25926931547215,False
86,38.013116,23.753082,14.683951287698143,220.25926931547215,False
87,38.013123,23.753085,15.504636448018868,232.56954672028303,False
88,38.013123,23.753085,15.504636448018868,232.56954672028303,False
89,38.01313,23.753089,16.357110298975027,245.3566544846254,False
90,38.01313,23.753089,16.357110298975027,245.3566544846254,False
91,38.013137,23.753093,17.20969685042489,258.14545275637334,False
92,38.013137,23.753093,17.20969685042489,258.14545275637334,False
93,38.013137,23.753093,17.20969685042489,258.14545275637334,False
94,38.013144,23.753096,18.030270341050656,270.45405511575984,False
95,38.013144,23.753096,18.030270341050656,270.45405511575984,False
96,38.013144,23.753096,18.030270341050656,270.45405511575984,False
97,38.013151,23.7531,18.882861579783757,283.24292369675635,False
98,38.013151,23.7531,18.882861579783757,283.24292369675635,False
99,38.013158,23.753103,19.703431140390986,295.5514671058648,False
100,38.013158,23.753103,19.703431140390986,295.5514671058648,False
101,38.013165,23.753107,20.556026266212953,308.3403939931943,False
102,38.013165,23.753107,20.556026266212953,308.3403939931943,False
103,38.013165,23.753107,20.556026266212953,308.3403939931943,False
104,38.013172,23.75311,21.376592509100682,320.6488876365102,False
105,38.013172,23.75311,21.376592509100682,320.6488876365102,False
